url,identifier,title,description,image,currency,cost,created,ended,impressions,language,exclude,interest,placement,residence,match,location,politics,multicultural affinity,industry,employer,clicks,facebook url,tag
https://mith.umd.edu/irads/api/items/8005,2586,Mexican girls are the best,Mexican girls are the best,https://mith.umd.edu/irads/files/original/a0f1c6e6b09d71875d8ca70df89203a1.png,RUB,300,2017-05-05T00:04:14-07:00,2017-05-08T00:04:14-07:00,102110,,,Hispanic and latino american culture|Mexico|Being Chicano|Mexican american culture|Hispanic culture|Latino culture|Latin hip hop|Chicano|Chicano Movement|Hispanidad|Mexican Pride|Lowrider|Chicano rap|La Raza,News Feed on desktop computers|News Feed on mobile devices,,,,,,,,16055,https://www.facebook.com/brownunitedfront/,Brown Power|gender|meme|racial identities
https://mith.umd.edu/irads/api/items/8953,451,United We Stand! Welcome every patriot w…,United We Stand! Welcome every patriot we can reach. Flag and news!,https://mith.umd.edu/irads/files/original/92ec733629cffc8c92b874359e538071.png,RUB,36160,2016-09-15T02:50:06-07:00,,99946,English (UK)|English (US),Exclude people who like Being Patriotic,Independence|Patriotism,News Feed on desktop computers|News Feed on mobile devices,,,,,,,,11684,https://www.facebook.com/patriototus/,bald eagle|Being Patriotic|blue|Joy|painting|patriotism|red|U.S. Flag|white
https://mith.umd.edu/irads/api/items/7973,1188,Educate your Children on black culture a…,Educate your Children on black culture and appropriation. #Blackisonfleek,https://mith.umd.edu/irads/files/original/016da66c1e1049b002751f02423f14b4.png,RUB,300,2017-02-03T03:39:00-08:00,2017-02-06T03:39:00-08:00,98328,English (UK)|English (US),,Pan-Africanism|African-American Civil Rights Movement (1954—68)|African-American history|Black (Color),News Feed on desktop computers|News Feed on mobile devices,,,,,,,,13873,https://www.facebook.com/Blacktivist-128371547505950/,black|Blacktivist|blue|common folks|gender|Joy|orange|photograph|race|racial identities
https://mith.umd.edu/irads/api/items/7529,689,Every man should stand for our borders! …,Every man should stand for our borders! Join!,https://mith.umd.edu/irads/files/original/b6e796b6ef52a41781c7390d0b173f80.png,RUB,92711.37,2016-02-09T03:34:26-08:00,,97529,,Exclude people who like Secured Borders,,News Feed on desktop computers|News Feed on mobile devices,,,,,,,,15254,https://www.facebook.com/Secured-Borders-757183957716200/,barriers|borders|immigration|invader|non-partisan|photograph|Secured Borders|yellow
https://mith.umd.edu/irads/api/items/7364,1852,Welcome to the City of memes - Memopolis…,Welcome to the City of memes - Memopolis.,https://mith.umd.edu/irads/files/original/040f62bf5a389248dcbfd084c184c9a3.png,RUB,13288.51,2016-04-11T23:58:16-07:00,,97300,,Exclude people who like Memopolis,Entertainment|Humour,News Feed on desktop computers|News Feed on mobile devices|Right column on desktop computers,,,,,,,,2778,https://www.facebook.com/Memopolis-450474615151098/,Facebook|Humor|meme|Memopolis|non-partisan|photograph|popular culture|wut|yellow
https://mith.umd.edu/irads/api/items/6516,3143,"Staying Woke,bui|ding-up our Black commu…","Staying Woke,bui|ding-up our Black communities,up|ifting Black people. Join
us!",https://mith.umd.edu/irads/files/original/5b0f00b0b428bf1296069f84215894b0.png,RUB,10303.13,2016-11-08T14:22:44-08:00,,95896,English (US),Exclude people who like Woke Blacks,Martin Luther King|African-American Civil Rights Movement (1954—68)|African-American history|Malcolm X,News Feed on desktop computers|News Feed on mobile devices|Right column on desktop computers,,,,,,,,6780,https://www.facebook.com/Woke-B|acks-294234600956431/,black|blue|Joy|photograph|racial identities|red|text|woke|Woke Blacks
https://mith.umd.edu/irads/api/items/9262,39,Join us to learn more! Why aren't white …,"Join us to learn more! Why aren't white hoods and white supremacist
propaganda illegal here in America? Why are Germans ashamed of their
bigotry, while America is proud of it? Black America ( @black Blacklivessss",https://mith.umd.edu/irads/files/original/4925518e30c8e100193e2cec3c4a02ac.png,RUB,9160.88,2016-01-14T06:07:11-08:00,,95140,English (US),,HuffPost Black Voices,Instagram Feed,,,,,,,,300,httpszllwww.instagram.com/black_america_today/,black|blacklivesmatter|meme|Sadness|white
https://mith.umd.edu/irads/api/items/7441,591,We speak for all fellow members of LGBT …,We speak for all fellow members of LGBT community across the nation.,https://mith.umd.edu/irads/files/original/05bc0200d924425349261ef8ed760d89.png,RUB,31713.12,2016-03-23T05:36:11-07:00,,93925,English (UK)|English (US),,Gay pride|LGBT community|Homosexuality|LGBT culture|Same-sex marriage,News Feed on mobile devices,,,,,,,,5441,https://www.facebook.com/Igbtun/,illustration|Joy|LGBT United|LGBTQ|rainbow
https://mith.umd.edu/irads/api/items/8359,1011,Watch this baby drama. This child‘s grea…,"Watch this baby drama. This child‘s great escape is hilarious. Watch this
baby drama. This child‘s great escape is hilarious.",https://mith.umd.edu/irads/files/original/a9da6b26be764d25c3d982dbe622aa72.png,RUB,173.44,2017-04-14T07:58:44-07:00,2017-04-15T08:00:00-07:00,93044,English (UK)|English (US),,Black nationalism|Pan—Africanism|Police misconduct|African-American culture|African-American Civil Rights Movement (1954—68)|African-American history|Black Consciousness Movement|Martin Luther King III|Stop Police Brutality|Black (Color),News Feed on desktop computers|News Feed on mobile devices,,,,,,,,5582,https://www.facebook.com/blacktivists/,black|Blacktivist|Humor|non-partisan|redacted
https://mith.umd.edu/irads/api/items/9113,50,Black Matters 4 Cops On 1 Teen: Brutalit…,"Black Matters 4 Cops On 1 Teen: Brutality Against Juveniles L. A. County
probation officers brutalize teen in detention center. Fox News Hosts Believe
Charleston Shooting Wasn’t Hate Crime “Fox & Friends” hosts declare that
the shooting was motivated by religious hatred towards Christians, but not
racism. Brutal Alabama Cop Fatally Shoots Black Teen Holding Cellphone A
mobile police officer fatally shot a 19-year-old black teen, Michael Moore,
during a traffic stop Monday, June 13 in Toulminville, Alabama. Black Matters",https://mith.umd.edu/irads/files/original/f6c982ebf7707fc7c44bea05b018a446.png,RUB,13458.49,2016-06-21T07:09:02-07:00,,92618,English (UK)|English (US),,,News Feed on desktop computers|Third-party Apps and Websites on mobile devices|News Feed on mobile devices,,,,,,,,6555,httpszllblackmattersus.com/,black|blacklivesmatter|civil rights|crime|language|police brutality|racial identities|racial tensions|redacted|Republican|Sadness
